side,jersey,name,goalkeeper,goals,yellow,twoMin,red,points
away,25,Ómar Darri Sigurgeirsson,false,9,0,0,0,19
home,4,Bjarni I Selvindi,false,6,0,0,0,13
home,6,Arnór Snær Óskarsson,false,5,0,0,0,11
home,2,Þorgils Jón Svölu Baldursson,false,4,0,0,0,9
away,26,Birgir Már Birgisson,false,4,0,0,0,9
home,25,Allan Norðberg,false,4,0,1,0,7
home,18,Gunnar Róbertsson,false,4,0,1,0,7
home,88,Andri Finnsson,false,3,0,0,0,7
away,34,Garðar Ingi Sindrason,false,3,0,0,0,7
home,10,Daníel Montoro,false,2,0,0,0,5
away,20,Birkir Benediktsson,false,3,0,1,0,5
away,9,Leonharð Þorgeir Harðarson,false,2,0,0,0,5
home,24,Magnús Óli Magnússon,false,2,1,0,0,4
home,1,Björgvin Páll Gústavsson,true,1,0,0,0,3
home,40,Þorvaldur Örn Þorvaldsson,false,1,0,0,0,3
away,42,Kristófer Máni Jónasson,false,3,0,2,0,3
away,48,Símon Michael Guðjónsson,false,1,0,0,0,3
away,15,Jakob Martin Ásgeirsson,false,1,0,0,0,3
home,20,Jens Sigurðarson,true,0,0,0,0,1
home,17,Logi Finnsson,false,0,0,0,0,1
home,11,Daníel Örn Guðmundsson,false,0,0,0,0,1
home,5,Agnar Smári Jónsson,false,0,0,0,0,1
home,23,Róbert Aron Hostert,false,0,0,0,0,1
away,12,Jón Þórarinn Þorsteinsson,true,0,0,0,0,1
away,1,Daníel Freyr Andrésson,true,0,0,0,0,1
away,7,Ingvar Dagur Gunnarsson,false,0,0,0,0,1
away,24,Einar Örn Sindrason,false,0,0,0,0,1
away,10,Brynjar Narfi Arndal,false,0,0,0,0,1
away,2,Ágúst Birgisson,false,0,0,0,0,1
away,22,Gunnar Kári Bragason,false,0,1,0,0,0
home,19,Dagur Leó Fannarsson,false,0,0,1,0,-1
